id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
36507,Pump.fun,PUMP,pump-fun,75,0.0030079316320749954,234280935.4928069,1064807797.7545483,-0.25973368,4.75422344,-4.58451559,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
10603,Immutable,IMX,immutable-x,76,0.5380688836591965,27384669.24855191,1030628368.9301049,-0.89951845,-0.69129865,-3.50589493,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
8526,Raydium,RAY,raydium,77,3.5908329777921013,192795002.0450871,962641072.6071713,-2.00649941,3.69152706,7.54100744,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
4705,PAX Gold,PAXG,pax-gold,78,3390.416871631965,68021623.71318454,955171339.9863037,0.06890787,0.32661705,1.50611117,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
6719,The Graph,GRT,the-graph,79,0.09039991404322383,35004170.99843146,945793589.668615,-0.64414281,0.54875208,-2.40066797,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
32880,Kaia,KAIA,kaia,80,0.15396540513466075,63093198.94072273,939853349.4574337,0.00376103,7.3257717,2.92920421,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
10804,FLOKI,FLOKI,floki-inu,81,9.607379576600943e-05,83747517.91330323,916533056.1832414,-0.72766728,-0.8465607,-7.06111279,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
32684,Sonic,S,sonic,82,0.3128819012607785,81783389.27043025,901099875.6310421,-0.77171901,-2.22842089,-5.660371,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
7186,PancakeSwap,CAKE,pancakeswap,83,2.588106466775033,57069599.61719299,890824269.6980695,-0.47836722,-1.70281853,-3.55402172,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
13855,Ethereum Name Service,ENS,ethereum-name-service,84,24.219063309050906,75699245.48433067,889686490.1835632,-0.93103011,-1.33996902,-4.45481425,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
7334,Conflux,CFX,conflux-network,85,0.17077330837030355,53696002.46458471,876076759.7045131,-0.55084298,-2.74854456,-7.59180707,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
9481,Pendle,PENDLE,pendle,86,5.080986370101082,93956092.24289109,853070518.0475465,-1.03894402,-2.02288067,-7.50824986,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
5176,Tether Gold,XAUt,tether-gold,87,3395.4342856494927,23196772.23290132,837056041.8354555,-0.01661904,0.26049565,1.40303861,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
2011,Tezos,XTZ,tezos,88,0.7849899827279223,18153193.13126876,829006378.4455688,-0.55951813,-1.17584325,-4.16829748,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
28752,dogwifhat,WIF,dogwifhat,89,0.8168161383287659,245815241.731282,815868705.0639706,-0.80603686,0.72550984,-6.1960304,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
2694,Nexo,NEXO,nexo,90,1.2534741921692945,11191327.25979264,809927134.2844285,-0.39568848,-1.29776516,-1.58527651,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
33597,Fartcoin,FARTCOIN,fartcoin,91,0.8070206174926535,184902709.30443946,807019210.0486966,-1.36580409,-0.22794971,-11.95362209,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
36462,Vaulta,A,vaulta,92,0.49776606984775706,48763987.51888651,790001946.6817352,-0.28075471,1.08440332,-0.7152296,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
2416,Theta Network,THETA,theta-network,93,0.7885435705099726,37286756.83474164,788543570.5099726,-0.85698852,-1.10529948,-1.04622344,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
1720,IOTA,IOTA,iota,94,0.19499870283640433,19615648.01313775,777410983.1786693,-0.84360022,-1.03527873,-1.84790523,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
29420,Virtuals Protocol,VIRTUAL,virtual-protocol,95,1.160728830857984,123444396.09896268,760907853.5570793,-0.76695102,-1.64971136,-8.03444015,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
7080,Gala,GALA,gala,96,0.01642711306355481,97493915.31072858,751831459.926576,-0.85312836,-1.8372329,-1.57758641,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
8425,JasmyCoin,JASMY,jasmy,97,0.015011937785204196,32540364.21903152,742265258.9431113,-0.56132723,-1.84187473,-4.06447313,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
28541,Jito,JTO,jito,98,1.9510796774002013,86440057.40928297,722080858.8581246,-1.44184074,6.06691642,12.02453765,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
6210,The Sandbox,SAND,the-sandbox,99,0.2793971243342146,51882451.05337823,718969600.3875103,-1.11994334,-0.7309526,-1.58197249,2025-08-27 23:50:00+00:00,2025-08-27 23:51:50.849000+00:00
34104,Morpho,MORPHO,morpho,100,2.158588800712271,36157961.38299798,714494549.8280149,-0.92477713,-8.28114436,-4.11285691,2025-08-27 23:49:00+00:00,2025-08-27 23:51:50.849000+00:00
